2theta,Experimental
58.0393,315.82
58.0592,274.96
58.0791,312.58
58.0991,255.33
58.119,231.67
58.139,179.24
58.1589,275.65
58.1789,272.84
58.1988,377.53
58.2187,398.97
58.2387,341.38
58.2586,270.59
58.2786,243.5
58.2985,268.69
58.3185,268.37
58.3384,296.69
58.3583,216.88
58.3783,220.06
58.3982,294.69
58.4182,298.81
58.4381,392.6
58.458,216.11
58.478,244.51
58.4979,237.2
58.5179,234.49
58.5378,330.3
58.5578,273.74
58.5777,283.42
58.5976,212.97
58.6176,199.63
58.6375,259.64
58.6575,316.67
58.6774,283.93
58.6973,288.35
58.7173,332.58
58.7372,317.5
58.7572,273.67
58.7771,215.82
58.7971,157.65
58.817,244.87
58.8369,216.78
58.8569,281.36
58.8768,258.96
58.8968,213.25
58.9167,315.65
58.9367,275.51
58.9566,259.65
58.9765,299
58.9965,273.9
59.0164,357.33
59.0364,285.83
59.0563,252.75
59.0762,280.42
59.0962,333.79
59.1161,349.72
59.1361,337.32
59.156,246.13
59.176,267.49
59.1959,331.85
59.2158,331.14
59.2358,424.59
59.2557,345.83
59.2757,277.4
59.2956,269.17
59.3155,323.56
59.3355,206.36
59.3554,193.17
59.3754,284.94
59.3953,327.95
59.4153,377.62
59.4352,278.18
59.4551,212.6
59.4751,262.07
59.495,192.79
59.515,266
59.5349,256.66
59.5549,202.08
59.5748,141.94
59.5947,177.77
59.6147,198.23
59.6346,171.14
59.6546,324.79
59.6745,255.18
59.6944,379.16
59.7144,313.24
59.7343,288.23
59.7543,239.14
59.7742,281.08
59.7942,261.7
59.8141,314.41
59.834,354.63
59.854,149.24
59.8739,314.53
59.8939,275.95
59.9138,269.58
59.9337,288.74
59.9537,281.59
59.9736,279.17
59.9936,253.72
60.0135,331.08
60.0335,305.98
60.0534,278.4
60.0733,267.14
60.0933,237.09
60.1132,246.9
60.1332,300.96
60.1531,333.85
60.1731,262
60.193,143.8
60.2129,240.44
60.2329,314.61
60.2528,311.18
60.2728,213.3
60.2927,289.92
60.3126,199.38
60.3326,274.42
60.3525,294.27
60.3725,288.04
60.3924,391.6
60.4124,244.49
60.4323,299.46
60.4522,255.97
60.4722,283.7
60.4921,309.91
60.5121,241.93
60.532,268.5
60.5519,240.22
60.5719,305.31
60.5918,258.61
60.6118,250.95
60.6317,378.63
60.6517,329.42
60.6716,256.39
60.6915,332.17
60.7115,418.56
60.7314,269.62
60.7514,220.03
60.7713,178.64
60.7913,215.78
60.8112,407.17
60.8311,341.87
60.8511,354.82
60.871,237.76
60.891,309.42
60.9109,277.37
60.9308,192.85
60.9508,210.12
60.9707,259.06
